"grouping_id","doi","year","authors","publisher","work_type","source_url","source_db","title","chapters_found"
"TITLE:chapter 52. Act in Such a Way That I Can Speak to You_2020","10.1515/9780823281787-054","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823281787-054","Crossref","chapter 52. Act in Such a Way That I Can Speak to You","1"
"TITLE:chapter 9. Refusal, I_2020","10.1515/9780823281787-011","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823281787-011","Crossref","chapter 9. Refusal, I: The Revolution of Spirit","1"
"TITLE:index_2020","10.1515/9780823281787-070","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823281787-070","Crossref","index","1"
"TITLE:notes_2020","10.1515/9780823281787-068","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823281787-068","Crossref","notes","1"
"TITLE:preface_2020","10.1515/9780823281787-002","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823281787-002","Crossref","preface","1"
"TITLE:Index_2020","10.1515/9780823269310-016","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823269310-016","Crossref","Index","2"
"TITLE:Introduction_2020","10.1515/9780823264605-002","2020","Aristide Bianchi, Leonid Kharlamov","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823264605-002","Crossref","Introduction","2"
"TITLE:translator’s note_2020","10.1515/9780823281787-001","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823281787-001","Crossref","translator’s note","1"
"TITLE:Bibliography_2020","10.1515/9780823269310-015","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823269310-015","Crossref","Bibliography","2"
"TITLE:Bibliographical Note_2020","10.1515/9780823264605-007","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823264605-007","Crossref","Bibliographical Note","1"
"TITLE:Conclusion. Speech Unredeemed_2020","10.1515/9780823254712-013","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823254712-013","Crossref","Conclusion. Speech Unredeemed","1"
"TITLE:Appendix_2020","10.1515/9780823269310-013","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823269310-013","Crossref","Appendix: Thomas l’Obscur, Chapter 1","1"
"TITLE:Amor_2020","10.1515/9780823281787-066","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823281787-066","Crossref","Amor","1"
"TITLE:Aesthetics of Negativity_2020","10.1515/9780823269310","2020","William S. Allen","Fordham University Press","edited-book","https://doi.org/10.1515/9780823269310","Crossref","Aesthetics of Negativity","1"
"TITLE:Ending and Unending Agony_2020","10.1515/9780823264605","2020","Philippe Lacoue-Labarthe","Fordham University Press","edited-book","https://doi.org/10.1515/9780823264605","Crossref","Ending and Unending Agony","1"
"TITLE:Acknowledgments_2020","10.1515/9780823269310-002","2020","","Fordham University Press","book-chapter","https://doi.org/10.1515/9780823269310-002","Crossref","Acknowledgments","1"
"TITLE:Maurice Blanchot_2019","10.1515/9780823281787","2019","Christophe Bident, John McKeane","Fordham University Press","monograph","https://doi.org/10.1515/9780823281787","Crossref","Maurice Blanchot","1"
"TITLE:Maurice Blanchot_2018","10.2307/j.ctv8d5tnj","2018","Christophe Bident","Fordham University Press","monograph","https://doi.org/10.2307/j.ctv8d5tnj","Crossref","Maurice Blanchot","1"
"TITLE:Acknowledgments_2016","10.2307/j.ctt19x3jg5.4","2016","","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt19x3jg5.4","Crossref","Acknowledgments","1"
"TITLE:Introduction_2016","10.2307/j.ctt19x3jg5.5","2016","","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt19x3jg5.5","Crossref","Introduction:","1"
"TITLE:Aesthetics of Negativity_2016","10.2307/j.ctt19x3jg5","2016","WILLIAM S. ALLEN","Fordham University Press","monograph","https://doi.org/10.2307/j.ctt19x3jg5","Crossref","Aesthetics of Negativity","1"
"TITLE:Notes_2016","10.2307/j.ctt19x3jg5.20","2016","","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt19x3jg5.20","Crossref","Notes","1"
"TITLE:Appendix_2016","10.2307/j.ctt19x3jg5.19","2016","","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt19x3jg5.19","Crossref","Appendix:","1"
"TITLE:Index_2016","10.2307/j.ctt19x3jg5.22","2016","","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt19x3jg5.22","Crossref","Index","1"
"TITLE:Bibliography_2016","10.2307/j.ctt19x3jg5.21","2016","","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt19x3jg5.21","Crossref","Bibliography","1"
"TITLE:Bibliographical Note_2015","10.2307/j.ctt1657v2v.14","2015","","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt1657v2v.14","Crossref","Bibliographical Note","1"
"TITLE:Translator’s Note_2015","10.2307/j.ctt1657v2v.3","2015","","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt1657v2v.3","Crossref","Translator’s Note","1"
"TITLE:Prologue_2015","10.2307/j.ctt1657v2v.5","2015","","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt1657v2v.5","Crossref","Prologue","1"
"TITLE:Index of Names_2015","10.2307/j.ctt1657v2v.15","2015","","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt1657v2v.15","Crossref","Index of Names","1"
"TITLE:Ending and Unending Agony_2015","10.2307/j.ctt1657v2v","2015","Philippe Lacoue-Labarthe","Fordham University Press","monograph","https://doi.org/10.2307/j.ctt1657v2v","Crossref","Ending and Unending Agony","1"
"TITLE:Notes_2015","10.2307/j.ctt1657v2v.13","2015","","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt1657v2v.13","Crossref","Notes","1"
"TITLE:Introduction_2015","10.2307/j.ctt1657v2v.4","2015","Aristide Bianchi, Leonid Kharlamov","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt1657v2v.4","Crossref","Introduction","1"
"TITLE:The Imperative to Write_2014","10.1515/9780823254712","2014","Jeff Fort","Fordham University Press","monograph","https://doi.org/10.1515/9780823254712","Crossref","The Imperative to Write","2"
"TITLE:CONCLUSION_2014","10.2307/j.ctt13x07wd.15","2014","","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt13x07wd.15","Crossref","CONCLUSION:","1"
"TITLE:BIBLIOGRAPHY_2014","10.2307/j.ctt13x07wd.17","2014","","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt13x07wd.17","Crossref","BIBLIOGRAPHY","1"
"TITLE:PREFACE_2014","10.2307/j.ctt13x07wd.4","2014","","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt13x07wd.4","Crossref","PREFACE","1"
"TITLE:NOTES_2014","10.2307/j.ctt13x07wd.16","2014","","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt13x07wd.16","Crossref","NOTES","1"
"TITLE:INDEX_2014","10.2307/j.ctt13x07wd.18","2014","","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt13x07wd.18","Crossref","INDEX","1"
"TITLE:In Lieu of a Last Word_2013","10.2307/j.ctt13x07vw.9","2013","","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt13x07vw.9","Crossref","In Lieu of a Last Word:","1"
"TITLE:The Name God in Blanchot_2009","10.2307/j.ctt14bs028.11","2009","","Fordham University Press","book-chapter","https://doi.org/10.2307/j.ctt14bs028.11","Crossref","The Name God in Blanchot","1"
